,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,DE,AU,JP,AT,BE,CA,CH,ES,FR,ID,IN,IT,MX,NL,RU,TH,TR,ZA,AE,BR,CO,DK,HK,IE,LU,MY,NO,NZ,PH,PL,SE,SG,TW,AR,CL,CR,CZ,EC,EE,EG,FI,GR,GT,HU,IL,KE,KZ,LB,LT,NG,PE,PT,RO,SA,SI,SK,UA,VN,DATE
476,77,+11,Fun. - We Are Young,1011,1,(x22),1702,14,8.433,,,,,,137.0,,55.0,,164.0,,,,,139.0,,,,,,,92.0,17.0,,,101.0,34.0,113.0,,,112.0,81.0,199.0,66.0,,28.0,36.0,15.0,,13.0,37.0,,161.0,,11.0,58.0,,,,,27.0,,26.0,21.0,30.0,,20.0,,,,2024-07-02
477,78,+21,Imagine Dragons - Eyes Closed,28,5,,1701,116,0.138,106.0,,,59.0,,,,63.0,47.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
478,79,+22,Luke Combs - Remember Him That Way,19,33,,1692,122,0.049,62.0,,,18.0,,,,158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
479,80,-7,The Chainsmokers & Coldplay - Something Just Like This,819,2,(x59),1678,-308,6.623,,32.0,,159.0,,,,,,,,144.0,46.0,,,,,,,193.0,,,,,159.0,,,,,,76.0,106.0,,,,,,,,,,50.0,,,,,,,,,39.0,,,,,,30.0,31.0,,160.0,2024-07-02
480,81,+10,Ed Sheeran - Thinking Out Loud,2715,2,(x14),1672,7,11.4,,,,,,,,183.0,,166.0,,,,,145.0,,,,,,57.0,77.0,21.0,,,,,58.0,,125.0,54.0,86.0,,51.0,,24.0,14.0,6.0,55.0,10.0,35.0,94.0,,,9.0,,,23.0,,22.0,45.0,24.0,9.0,36.0,33.0,,15.0,34.0,,,2024-07-02
481,82,+4,Coldplay - Clocks,28,82,,1671,-26,1.03,,21.0,,64.0,,,,145.0,,,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
482,83,+12,Christina Perri - A Thousand Years,2141,17,,1655,20,7.202,121.0,,106.0,75.0,,,,,,,118.0,161.0,,,,,,,,,,74.0,89.0,,149.0,112.0,,55.0,,,65.0,,,54.0,,64.0,102.0,32.0,51.0,24.0,,49.0,,,,,,,,,,,53.0,43.0,117.0,,,,,159.0,2024-07-02
483,84,+74,The Kid LAROI - GIRLS,5,31,,1654,462,0.011,114.0,,,28.0,,,32.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-02
484,85,-34,Wiz Khalifa - See You Again,2279,1,(x95),1653,-878,9.531,,,,,,155.0,,,,,,135.0,157.0,,149.0,,,126.0,,184.0,53.0,97.0,34.0,,116.0,126.0,,53.0,,142.0,,94.0,,49.0,,46.0,49.0,,58.0,18.0,,41.0,,,18.0,46.0,48.0,16.0,,13.0,,8.0,,50.0,43.0,31.0,23.0,40.0,,124.0,2024-07-02
485,86,-8,Elton John & Dua Lipa - Cold Heart,984,1,(x91),1640,-188,7.453,,50.0,,53.0,,,,190.0,,,,,,,,,59.0,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,66.0,,12.0,,,,,,,,,,2024-07-02
