,Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,JP,DE,AU,CA,FR,IT,KR,MX,RU,TH,BE,BR,CH,CN,CO,ES,HK,ID,IE,IN,NL,NZ,TR,TW,ZA,AE,AR,AT,CL,CZ,DK,EC,EE,EG,FI,GR,HU,IL,KE,KZ,LB,LT,LU,MY,NG,NO,PE,PH,PL,PT,RO,SA,SE,SI,SG,SK,UA,VN,DATE
388,189,-8,"Peso Pluma, Natanael Cano & Gabito Ballesteros - VINO TINTO",11,107,,1158,-31,0.016,123.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
389,190,+22,FOURTY & Bausa - VEMPA,40,140,,1155,83,0.072,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
390,191,+8,"TWS - If Iâm S, Can You Be My N",3,191,,1144,11,0.007,,,,,,,,,17.0,,,,,,,,,,41.0,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
391,192,-10,ÐÐ¸Ð¾ ÐÐ¸ÐÐ° & MIRAVI - ÐÐ¸Ñ,46,156,,1141,-47,0.078,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,95.0,,,,,,,,,,,,,,,,,12.0,,2024-07-01
392,193,+32,"Taylor Swift - So Long, London",72,4,,1140,105,0.467,,132.0,,,49.0,144.0,,,,,,,,82.0,,,,,,,71.0,,194.0,73.0,,,,,49.0,,,,,,,,,,,,,,,,,,,,,92.0,,,,93.0,145.0,,97.0,,,,2024-07-01
393,194,-27,Kygo & Ava Max - Whatever,153,41,,1137,-109,0.339,,96.0,,75.0,,,74.0,,,,,,,,68.0,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,36.0,,,,,,,195.0,,,,,,2024-07-01
394,195,+11,Jul - Il pleut des balles,21,128,,1135,46,0.03,,,,,,,8.0,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
395,196,+4,"The Weeknd, JENNIE & Lily Rose Depp - One Of The Girls",305,31,,1133,23,0.693,,,,,,,,,,,,50.0,,170.0,,,,,,49.0,,144.0,,,,,,40.0,,,169.0,,,,,98.0,,,,,,29.0,,,,33.0,,,189.0,120.0,,,200.0,32.0,,,93.0,,,36.0,2024-07-01
396,197,+18,Morgan Wallen - Spin You Around,127,45,,1129,65,0.241,46.0,,,,138.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
397,198,-18,KAROL G & Peso Pluma - QLONA,308,37,,1124,-70,0.658,,,,,,,,,,88.0,,,,,,,18.0,27.0,,,,,,,,,,,95.0,,49.0,,,18.0,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,2024-07-01
398,199,-5,Vaundy - ã¿ã¤ã ãã©ããã¯ã¹,126,101,,1119,-22,0.2,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
399,200,-14,Fuerza Regida - TÃ NAME,132,69,,1118,-58,0.223,92.0,,,,,,,,,12.0,,,,,,,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-01
400,1,=,Sabrina Carpenter - Espresso,82,1,(x36),17432,163,1.209,11.0,3.0,,7.0,3.0,6.0,18.0,86.0,54.0,87.0,,7.0,4.0,5.0,6.0,,94.0,36.0,31.0,6.0,5.0,21.0,1.0,2.0,28.0,28.0,19.0,2.0,10.0,3.0,34.0,10.0,2.0,58.0,4.0,11.0,4.0,18.0,10.0,24.0,66.0,13.0,3.0,5.0,4.0,3.0,,2.0,15.0,6.0,1.0,2.0,10.0,3.0,1.0,13.0,3.0,11.0,32.0,7.0,2024-07-02
401,2,=,Sabrina Carpenter - Please Please Please,26,2,(x19),15987,153,0.38,4.0,1.0,,20.0,2.0,5.0,149.0,107.0,85.0,34.0,,3.0,23.0,6.0,9.0,,65.0,53.0,44.0,3.0,1.0,32.0,2.0,1.0,77.0,63.0,11.0,4.0,8.0,12.0,16.0,18.0,8.0,30.0,15.0,32.0,8.0,45.0,28.0,43.0,77.0,26.0,4.0,17.0,18.0,2.0,,1.0,6.0,1.0,7.0,9.0,23.0,4.0,6.0,8.0,1.0,31.0,,17.0,2024-07-02
402,3,=,Billie Eilish - BIRDS OF A FEATHER,47,2,(x7),15247,239,0.683,9.0,9.0,,11.0,8.0,9.0,106.0,105.0,64.0,67.0,,4.0,12.0,4.0,8.0,,96.0,88.0,77.0,1.0,16.0,119.0,5.0,4.0,73.0,56.0,5.0,1.0,13.0,9.0,43.0,16.0,4.0,64.0,21.0,3.0,10.0,32.0,33.0,54.0,28.0,17.0,2.0,3.0,2.0,1.0,,8.0,22.0,2.0,9.0,10.0,15.0,1.0,4.0,12.0,2.0,25.0,65.0,19.0,2024-07-02
403,4,=,Hozier - Too Sweet,103,4,,12773,18,1.099,16.0,7.0,,12.0,9.0,15.0,79.0,141.0,,,,5.0,15.0,12.0,5.0,,,,,34.0,6.0,109.0,11.0,7.0,,,15.0,6.0,162.0,2.0,,9.0,14.0,,19.0,22.0,15.0,52.0,19.0,29.0,,99.0,9.0,7.0,9.0,13.0,,5.0,,19.0,5.0,15.0,18.0,12.0,9.0,15.0,6.0,21.0,34.0,34.0,2024-07-02
404,5,=,Benson Boone - Beautiful Things,166,1,(x30),12346,23,2.171,20.0,6.0,,16.0,5.0,7.0,21.0,46.0,96.0,,,,5.0,10.0,4.0,,171.0,35.0,,140.0,15.0,,12.0,10.0,,89.0,9.0,10.0,51.0,8.0,181.0,7.0,18.0,,32.0,59.0,43.0,90.0,58.0,77.0,99.0,,31.0,19.0,3.0,37.0,,11.0,188.0,114.0,17.0,11.0,32.0,26.0,17.0,22.0,30.0,20.0,24.0,,2024-07-02
405,6,=,Kendrick Lamar - Not Like Us,59,3,(x5),12214,85,0.644,1.0,20.0,,37.0,7.0,3.0,124.0,99.0,,,,35.0,26.0,48.0,20.0,,,174.0,136.0,47.0,24.0,25.0,9.0,3.0,116.0,80.0,2.0,3.0,,26.0,,32.0,15.0,,23.0,9.0,13.0,37.0,31.0,71.0,3.0,19.0,8.0,13.0,8.0,20.0,55.0,10.0,,21.0,19.0,7.0,13.0,2.0,5.0,24.0,13.0,26.0,,73.0,2024-07-02
406,7,=,floyymenor & Cris Mj - Gata Only,133,7,,10585,-49,1.042,34.0,,,9.0,,62.0,4.0,25.0,,11.0,23.0,,2.0,,1.0,,30.0,15.0,,,,,15.0,,70.0,,,7.0,15.0,6.0,3.0,17.0,96.0,10.0,10.0,27.0,30.0,43.0,11.0,27.0,,5.0,14.0,15.0,1.0,127.0,,56.0,8.0,,20.0,6.0,7.0,10.0,36.0,23.0,,23.0,6.0,,2024-07-02
407,8,=,Eminem - Houdini,33,3,(x5),10145,-1,0.394,37.0,4.0,,4.0,6.0,8.0,125.0,93.0,,,,,18.0,,2.0,,,,,,12.0,,6.0,9.0,,,95.0,21.0,,1.0,,13.0,9.0,,12.0,88.0,9.0,,13.0,,,,30.0,11.0,7.0,92.0,,7.0,,129.0,11.0,20.0,28.0,27.0,7.0,20.0,23.0,17.0,77.0,,2024-07-02
408,9,=,Taylor Swift - Fortnight,75,1,(x28),10009,68,1.119,46.0,15.0,,31.0,10.0,31.0,129.0,143.0,,196.0,,30.0,50.0,25.0,32.0,38.0,,115.0,62.0,17.0,2.0,,16.0,12.0,188.0,36.0,51.0,22.0,26.0,41.0,157.0,92.0,25.0,,57.0,123.0,41.0,,,,,,13.0,40.0,23.0,12.0,,17.0,177.0,10.0,44.0,18.0,164.0,20.0,14.0,66.0,4.0,,,10.0,2024-07-02
409,10,+1,Shaboozey - A Bar Song,81,10,,9868,67,0.629,2.0,2.0,,26.0,1.0,1.0,,,,,,,46.0,,3.0,,,,,,4.0,,13.0,5.0,,,4.0,20.0,,17.0,,14.0,11.0,,60.0,,37.0,,60.0,,,,43.0,34.0,14.0,,,6.0,,153.0,46.0,100.0,129.0,42.0,3.0,62.0,80.0,27.0,,,2024-07-02
410,11,-1,Tommy Richman - MILLION DOLLAR BABY,66,7,,9867,-17,0.637,5.0,23.0,,36.0,11.0,12.0,148.0,,24.0,,,60.0,72.0,83.0,22.0,,,,,50.0,51.0,,26.0,6.0,,,22.0,8.0,,30.0,,43.0,48.0,,36.0,58.0,54.0,87.0,45.0,,59.0,12.0,84.0,18.0,36.0,29.0,,31.0,,18.0,27.0,41.0,47.0,32.0,19.0,,15.0,36.0,10.0,74.0,2024-07-02
411,12,=,Taylor Swift - Cruel Summer,510,1,(x36),9374,-8,5.229,83.0,17.0,149.0,49.0,14.0,48.0,,,22.0,,,27.0,41.0,37.0,31.0,33.0,,89.0,51.0,21.0,3.0,,14.0,16.0,,21.0,140.0,23.0,71.0,44.0,197.0,74.0,33.0,,88.0,,44.0,,,,,,90.0,80.0,29.0,15.0,,15.0,163.0,15.0,47.0,36.0,173.0,28.0,16.0,52.0,5.0,,,28.0,2024-07-02
412,13,=,Billie Eilish - CHIHIRO,47,2,(x8),9069,185,0.613,49.0,51.0,,39.0,31.0,52.0,86.0,148.0,,65.0,,,10.0,2.0,18.0,,81.0,125.0,,93.0,56.0,,10.0,17.0,103.0,,28.0,9.0,17.0,29.0,46.0,29.0,22.0,60.0,24.0,4.0,35.0,63.0,50.0,88.0,,20.0,6.0,8.0,10.0,24.0,,23.0,40.0,71.0,10.0,8.0,37.0,5.0,15.0,26.0,21.0,43.0,19.0,83.0,2024-07-02
413,14,=,Billie Eilish - LUNCH,47,1,(x11),8721,-26,0.641,63.0,29.0,,41.0,19.0,41.0,65.0,108.0,,168.0,,200.0,14.0,9.0,25.0,,,117.0,180.0,72.0,35.0,,8.0,15.0,178.0,,59.0,15.0,25.0,27.0,112.0,26.0,13.0,,37.0,35.0,17.0,,64.0,61.0,,58.0,16.0,16.0,17.0,27.0,,13.0,112.0,41.0,16.0,14.0,54.0,13.0,10.0,36.0,19.0,40.0,54.0,96.0,2024-07-02
414,15,=,Teddy Swims - Lose Control,240,4,,8666,71,1.883,21.0,14.0,,35.0,12.0,25.0,140.0,182.0,,,,,47.0,31.0,16.0,,,61.0,,,34.0,,22.0,14.0,,,26.0,12.0,178.0,20.0,,24.0,21.0,,43.0,90.0,122.0,91.0,65.0,73.0,,,57.0,25.0,12.0,59.0,,21.0,,197.0,15.0,16.0,44.0,38.0,18.0,59.0,49.0,33.0,14.0,,2024-07-02
415,16,=,Post Malone - I Had Some Help,54,10,,7844,48,0.455,3.0,8.0,,73.0,4.0,2.0,,,,,,,153.0,,30.0,,,,,,8.0,,19.0,11.0,,,17.0,33.0,,42.0,,63.0,23.0,,,,63.0,,,,,,,58.0,76.0,131.0,,20.0,,172.0,85.0,69.0,,51.0,12.0,70.0,78.0,73.0,,,2024-07-02
416,17,+1,"Chappell Roan - Good Luck, Babe",59,17,,7825,246,0.186,18.0,10.0,,55.0,13.0,21.0,,,,,,,113.0,26.0,33.0,,,172.0,,,7.0,,28.0,8.0,,,82.0,14.0,84.0,36.0,150.0,,75.0,,91.0,101.0,16.0,,,,,,10.0,36.0,55.0,97.0,,29.0,155.0,14.0,49.0,21.0,82.0,11.0,20.0,35.0,14.0,,,157.0,2024-07-02
417,18,-1,Artemas - i like the way you kiss me,104,3,(x8),7718,45,0.946,,31.0,,5.0,25.0,88.0,51.0,49.0,,,,,7.0,,11.0,,,90.0,,,39.0,,18.0,31.0,,,46.0,36.0,,5.0,,11.0,49.0,,9.0,164.0,23.0,,26.0,,,75.0,,10.0,5.0,83.0,,18.0,,,4.0,,45.0,,13.0,29.0,46.0,12.0,18.0,,2024-07-02
418,19,=,Central Cee & Lil Baby - BAND4BAND,40,10,,7071,46,0.366,42.0,18.0,,38.0,30.0,32.0,,,,,,106.0,29.0,,17.0,,,200.0,,,54.0,,24.0,24.0,,,36.0,11.0,,33.0,,68.0,61.0,,74.0,33.0,50.0,57.0,59.0,,20.0,,20.0,70.0,6.0,158.0,53.0,43.0,,,61.0,24.0,39.0,31.0,35.0,67.0,,41.0,,129.0,2024-07-02
419,20,=,Myles Smith - Stargazing,53,19,,7031,54,0.295,160.0,5.0,,15.0,16.0,33.0,95.0,131.0,,,,,32.0,,7.0,,,,,,11.0,,40.0,19.0,,,14.0,30.0,,10.0,,50.0,44.0,,,,115.0,,89.0,,,,,,30.0,,,39.0,,120.0,122.0,,,,63.0,61.0,61.0,55.0,,,2024-07-02
420,21,=,Dasha - Austin,118,18,,5627,-3,0.576,142.0,11.0,,18.0,15.0,35.0,,,,,,,87.0,,23.0,,,,,,14.0,,48.0,21.0,,,88.0,,,14.0,,,58.0,,89.0,,64.0,,,,,,,93.0,41.0,,,30.0,,,126.0,,,,69.0,,,,,,2024-07-02
421,22,=,Ariana Grande - we can't be friends,117,1,(x28),5626,103,1.323,127.0,49.0,,103.0,29.0,104.0,188.0,,,187.0,,29.0,85.0,47.0,77.0,,,,193.0,5.0,59.0,,52.0,22.0,,97.0,60.0,16.0,82.0,95.0,146.0,,37.0,,,,49.0,,,,,93.0,18.0,71.0,64.0,4.0,,25.0,125.0,9.0,54.0,71.0,,16.0,27.0,,8.0,,,20.0,2024-07-02
422,23,+1,Jordan Adetunji - Kehlani,13,23,,4992,68,0.051,19.0,21.0,,42.0,111.0,57.0,198.0,,,,,,82.0,,19.0,,,,,,100.0,,74.0,52.0,,,25.0,34.0,,55.0,,,,,,159.0,,,,,29.0,,,,13.0,,131.0,,,,,39.0,35.0,59.0,118.0,,,,,,2024-07-02
423,24,+1,aespa - Supernova,50,23,,4932,9,0.27,,,20.0,,,,,,4.0,,,25.0,,,,10.0,,,6.0,18.0,,,,,39.0,2.0,,,,,,,,,,,,,,,,,,,,16.0,,,,79.0,,,,,,,11.0,,,23.0,2024-07-02
424,25,-2,Coldplay - Viva La Vida,650,17,,4889,-106,2.434,,16.0,,63.0,41.0,125.0,177.0,132.0,,,,,44.0,79.0,28.0,,,116.0,,,20.0,,39.0,36.0,,,200.0,47.0,81.0,40.0,,57.0,101.0,,,142.0,55.0,,52.0,,,,15.0,,19.0,98.0,,32.0,,191.0,189.0,62.0,91.0,50.0,51.0,34.0,35.0,91.0,,,2024-07-02
425,26,+1,Billie Eilish - WILDFLOWER,47,6,,4645,150,0.394,65.0,68.0,,100.0,58.0,90.0,,,,,,,54.0,14.0,49.0,,,,,124.0,101.0,,33.0,26.0,,,66.0,18.0,59.0,83.0,131.0,,43.0,,,10.0,58.0,,,,,,11.0,46.0,21.0,18.0,,24.0,158.0,113.0,55.0,23.0,98.0,8.0,38.0,73.0,60.0,,,,2024-07-02
426,27,-1,Noah Kahan - Stick Season,265,9,,4523,23,1.546,62.0,12.0,,,20.0,16.0,,,,,,,100.0,,85.0,,,,,,17.0,,34.0,25.0,,,38.0,,,,,,156.0,,,,,,,,,,,,,,,87.0,,,,,,,155.0,,,,,,2024-07-02
427,28,=,aespa - Armageddon,37,28,,4484,64,0.166,,,65.0,,,,,,5.0,,,17.0,,,,6.0,,,9.0,11.0,,,,,40.0,5.0,,,,,,,,,,,,,,,,,,,,9.0,,,,64.0,,,,,,,9.0,,,22.0,2024-07-02
428,29,+1,Dua Lipa - Training Season,138,4,,4399,51,0.947,,44.0,,75.0,28.0,,42.0,70.0,,,,,76.0,73.0,43.0,,,185.0,,,70.0,,36.0,30.0,130.0,,,84.0,122.0,47.0,,98.0,57.0,,,194.0,61.0,,54.0,,,,28.0,83.0,56.0,,,51.0,,,51.0,42.0,,81.0,42.0,,67.0,56.0,92.0,,2024-07-02
429,30,+1,Tate McRae - greedy,292,1,(x22),4398,99,3.034,,75.0,,48.0,26.0,60.0,,,,,,191.0,70.0,62.0,45.0,,,,,81.0,93.0,,31.0,33.0,,,131.0,27.0,,45.0,,54.0,41.0,,,,85.0,,76.0,,,,67.0,38.0,42.0,42.0,,52.0,,80.0,32.0,60.0,114.0,46.0,45.0,81.0,31.0,76.0,73.0,142.0,2024-07-02
430,31,-2,NewJeans - How Sweet,40,24,,4365,3,0.192,,,11.0,,,,,,2.0,,,59.0,,,,24.0,,,3.0,63.0,,,,,86.0,1.0,,,,,,,,,,,,,,,,,,,,28.0,,,,128.0,,,,,,,12.0,,,60.0,2024-07-02
431,32,=,ILLIT - Magnetic,99,14,,4140,-50,0.543,,,5.0,,,,,,10.0,,,43.0,,,,74.0,,,12.0,65.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,23.0,,,,109.0,,,,,,,10.0,,,37.0,2024-07-02
432,33,+3,"Future, Metro Boomin & Kendrick Lamar - Like That",92,3,(x5),4133,179,0.634,6.0,156.0,,148.0,60.0,34.0,,,,,,,,,148.0,,,,,,136.0,142.0,78.0,23.0,,,30.0,19.0,,130.0,,,149.0,,,37.0,62.0,,,,24.0,,19.0,89.0,69.0,163.0,160.0,94.0,,,91.0,88.0,34.0,14.0,47.0,,,,,,2024-07-02
433,34,=,Taylor Swift - Down Bad,75,2,(x12),4065,39,0.71,79.0,56.0,,144.0,22.0,61.0,,,,,,153.0,,35.0,159.0,,,,,101.0,25.0,,55.0,20.0,,,,40.0,33.0,124.0,,,54.0,,,,65.0,,,,,,,,95.0,51.0,,57.0,,16.0,,68.0,,52.0,26.0,,16.0,,,76.0,2024-07-02
434,35,-2,Mark Ambor - Belong Together,100,29,,4040,8,0.367,,19.0,,17.0,171.0,169.0,98.0,,,,,,58.0,,12.0,,,,,,42.0,,51.0,192.0,,,50.0,65.0,,16.0,,65.0,173.0,,,,156.0,,,,,,,,51.0,,,35.0,,,103.0,,,63.0,,,,,,,2024-07-02
435,36,+4,"Adam Port, Stryv, Keinemusik, Orso & Malachiii - Move",25,36,,3982,236,0.061,,141.0,,46.0,,,71.0,123.0,,,,,27.0,,13.0,,,198.0,,,,,37.0,,111.0,,155.0,5.0,,34.0,,,,,58.0,1.0,,3.0,22.0,9.0,,31.0,1.0,63.0,24.0,,,,,,152.0,3.0,3.0,7.0,,55.0,,39.0,30.0,,2024-07-02
436,37,-2,NewJeans - Supernatural,12,32,,3977,-41,0.047,,,13.0,,,,,,1.0,,,91.0,,,,25.0,,,13.0,104.0,,,,,67.0,6.0,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,18.0,,,40.0,2024-07-02
437,38,+1,Zach Bryan - Pink Skies,40,32,,3948,113,0.164,7.0,81.0,,,18.0,4.0,,,,,,,,,,,,,,,31.0,,,37.0,,,114.0,,,,,,,,,,,,,,,,,,,,,111.0,,,,,,,110.0,,,,,,2024-07-02
438,39,-2,Camila Cabello - HOT UPTOWN,5,30,,3792,-149,0.017,60.0,52.0,,,54.0,30.0,,165.0,,,,,161.0,70.0,48.0,,,124.0,,,139.0,,46.0,44.0,,,122.0,13.0,199.0,,,89.0,118.0,,,86.0,121.0,,,,,,45.0,42.0,,,,72.0,,,40.0,40.0,60.0,17.0,32.0,,,78.0,94.0,,2024-07-02
439,40,+3,Coldplay - feelslikeimfallinginlove,12,22,,3755,216,0.052,,13.0,,80.0,121.0,,,80.0,,,,,133.0,,14.0,,,,,,22.0,,43.0,86.0,,,,79.0,90.0,32.0,,,98.0,,,182.0,48.0,,80.0,,,,22.0,,67.0,133.0,,27.0,,,,75.0,137.0,91.0,37.0,91.0,20.0,99.0,,,2024-07-02
440,41,-3,CYRIL - Stumblin' In,147,25,,3722,-126,0.524,,,,14.0,24.0,,38.0,,,,,,25.0,,59.0,,,,,,,,23.0,27.0,,,,,,7.0,,79.0,,,,,,,,,,,,,38.0,,,,,,99.0,,,,,92.0,,72.0,,,2024-07-02
441,42,+2,Billie Eilish - LâAMOUR DE MA VIE,47,8,,3673,153,0.352,125.0,128.0,,141.0,73.0,108.0,,,,,,,71.0,17.0,63.0,,,,,44.0,146.0,,45.0,34.0,,,109.0,17.0,48.0,100.0,167.0,,60.0,,,13.0,93.0,,,,,84.0,5.0,57.0,46.0,5.0,,40.0,91.0,34.0,81.0,28.0,143.0,6.0,73.0,57.0,45.0,,,195.0,2024-07-02
442,43,-2,Taylor Swift - I Can Do It With a Broken Heart,75,3,(x5),3639,37,0.614,112.0,24.0,,133.0,27.0,69.0,,,,,,,191.0,74.0,161.0,,,,,,9.0,,59.0,35.0,,,,,56.0,110.0,,,104.0,,,,104.0,,,,,,60.0,,,176.0,,116.0,,47.0,,83.0,,99.0,56.0,,26.0,,,154.0,2024-07-02
443,44,-2,Taylor Swift - Lover,677,3,(x13),3562,-7,3.273,190.0,38.0,,168.0,37.0,98.0,,,,,,74.0,111.0,95.0,107.0,,,,196.0,55.0,13.0,,44.0,41.0,,,,54.0,116.0,123.0,,,97.0,,,,138.0,,,,,,,,,44.0,,78.0,156.0,24.0,179.0,,,90.0,74.0,,25.0,,,92.0,2024-07-02
444,45,+2,Billie Eilish - BLUE,47,7,,3497,69,0.368,161.0,170.0,,90.0,89.0,124.0,,,,,,,73.0,13.0,39.0,,,,,151.0,184.0,199.0,35.0,43.0,,,150.0,25.0,72.0,65.0,170.0,70.0,70.0,,73.0,20.0,77.0,,,,,38.0,12.0,26.0,22.0,40.0,,44.0,161.0,,41.0,35.0,109.0,9.0,70.0,,99.0,86.0,74.0,158.0,2024-07-02
445,46,-1,LISA - Rockstar,5,43,,3477,-37,0.017,,,,,,,,,45.0,,,2.0,,19.0,,,,,27.0,30.0,,,,,100.0,9.0,,97.0,,,,,,,,,,,,,,97.0,,,,11.0,,,,30.0,,,,23.0,,,7.0,,,5.0,2024-07-02
446,47,-1,BeyoncÃ© - TEXAS HOLD 'EM,142,2,(x7),3311,-162,1.249,,65.0,,47.0,40.0,81.0,91.0,,,,,,56.0,104.0,52.0,,,,,,82.0,,29.0,55.0,,,125.0,,,23.0,,,51.0,,,,,,,,,,,,47.0,,,42.0,,,,,,,61.0,,,,,,2024-07-02
447,48,=,Morgan Wallen - Last Night,518,17,,3150,51,1.943,13.0,102.0,,,21.0,10.0,,,,,,,,,,,,,,,120.0,,,70.0,,,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.0,,,,,,2024-07-02
448,49,=,KAROL G - Si Antes Te Hubiera Conocido,12,47,,3097,44,0.034,52.0,,,,,,,128.0,,26.0,,,176.0,,51.0,,1.0,1.0,,,,,168.0,,,,,,11.0,,4.0,,,2.0,,,,,,,,,,,,,,,3.0,,,91.0,,,,,,,,,2024-07-02
449,50,=,SZA - Snooze,571,15,,3069,37,2.356,26.0,78.0,,,140.0,130.0,,,,,,45.0,,,,,,,,37.0,119.0,,159.0,46.0,,,49.0,41.0,,,,,181.0,,,,,,,,54.0,,,,,26.0,,,,23.0,,,,45.0,159.0,,56.0,,,131.0,2024-07-02
450,51,=,Tommy Richman - DEVIL IS A LIE,17,48,,3056,143,0.044,38.0,50.0,,,35.0,36.0,,,,,,,,,,,,,,,,,,13.0,,,33.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,110.0,,172.0,,,,,,2024-07-02
451,52,=,"Future, Metro Boomin, Travis Scott & Playboi Carti - Type Shit",87,4,,3000,92,0.406,17.0,,,85.0,,65.0,,,,,,,,,82.0,,,,,,,,101.0,158.0,,,84.0,31.0,,59.0,,87.0,,,68.0,19.0,131.0,,55.0,,41.0,91.0,27.0,97.0,31.0,,,,,,43.0,,25.0,21.0,185.0,,,59.0,,,2024-07-02
452,53,+1,Miley Cyrus - Flowers,537,1,(x168),2920,34,5.487,,96.0,,82.0,48.0,95.0,,,,,,,80.0,44.0,40.0,,,108.0,,,83.0,,65.0,57.0,,,165.0,48.0,96.0,51.0,,49.0,74.0,,,,112.0,,,,,,86.0,59.0,39.0,94.0,,49.0,,170.0,53.0,,,,53.0,,48.0,,96.0,,2024-07-02
453,54,+1,NewJeans - Bubble Gum,40,38,,2883,13,0.132,,,21.0,,,,,,7.0,,,,,,,66.0,,,24.0,,,,,,167.0,14.0,,,,,,,,,,,,,,,,,,,,101.0,,,,,,,,,,,41.0,,,167.0,2024-07-02
454,55,+3,David Guetta & OneRepublic - I Don't Wanna Wait,68,49,,2864,43,0.162,,32.0,,32.0,91.0,,44.0,,,,,,156.0,,36.0,,,,,,126.0,,153.0,,,,,,,24.0,,,69.0,,,,132.0,,,,,,,,84.0,,,86.0,,,,,,,93.0,,,,,,2024-07-02
455,56,=,SZA - Saturn,131,19,,2860,4,0.446,35.0,177.0,,,92.0,145.0,,,,,,31.0,,,,,,,,13.0,166.0,,,29.0,,,153.0,29.0,,,,,,,,,,,,,,,,,,17.0,,,,20.0,,,,64.0,,,24.0,,,137.0,2024-07-02
456,57,=,Taylor Swift - Anti-Hero,620,1,(x50),2837,2,5.01,,40.0,,113.0,36.0,132.0,,,,,,,142.0,128.0,78.0,,,,,159.0,10.0,,50.0,51.0,,,,96.0,,102.0,,,127.0,,,,127.0,,,,,,,,,104.0,,91.0,,57.0,,,,,52.0,,34.0,,,,2024-07-02
457,58,+3,Travis Scott - FEN,267,2,(x2),2777,164,1.019,100.0,,,94.0,176.0,83.0,,,,,,,84.0,,46.0,,,,,,,51.0,27.0,97.0,,,99.0,24.0,,64.0,,67.0,,,85.0,14.0,110.0,,94.0,,87.0,54.0,25.0,,33.0,121.0,,129.0,,,33.0,94.0,16.0,19.0,170.0,,,49.0,,190.0,2024-07-02
458,59,+30,BABYMONSTER - FOREVER,2,59,,2771,842,0.005,,,160.0,,,,,,61.0,,,19.0,,,,,,,26.0,14.0,,,,,55.0,13.0,,,,,,,,,,,,,,,,,,,,7.0,,,,101.0,,,,,,,17.0,,,9.0,2024-07-02
459,60,+2,Taylor Swift - Whoâs Afraid of Little Old Me,75,8,,2755,144,0.498,149.0,46.0,,183.0,32.0,96.0,,,,,,,,53.0,,,,,,,19.0,,61.0,38.0,,,,,53.0,197.0,,,140.0,,,,135.0,,,,,,55.0,,,,,124.0,,60.0,,,,,62.0,,54.0,,,,2024-07-02
460,61,-2,BABYMONSTER - SHEESH,93,24,,2706,2,0.387,,,64.0,,,,,,28.0,,,48.0,,,,,,,30.0,27.0,,,,,,7.0,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,28.0,,,85.0,2024-07-02
461,62,+2,The Weeknd - Blinding Lights,1617,1,(x114),2686,182,14.894,,71.0,,95.0,47.0,,,,,,,,67.0,65.0,38.0,,,,,,,,42.0,73.0,,,,32.0,,91.0,,69.0,88.0,,76.0,,73.0,,,,,,89.0,53.0,35.0,,,37.0,,,45.0,99.0,,57.0,44.0,,95.0,88.0,,,2024-07-02
462,63,+2,Zach Bryan - I Remember Everything,312,19,,2661,167,1.069,22.0,187.0,,,33.0,11.0,,,,,,,,,,,,,,,58.0,,,126.0,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,143.0,,,,,,2024-07-02
463,64,+2,The Kid LAROI - GIRLS,4,64,,2648,162,0.009,77.0,149.0,,195.0,17.0,18.0,,,,,,,,,189.0,,,,,,163.0,,84.0,18.0,,,80.0,,,165.0,,,135.0,,,,123.0,,,,,,,,,,,107.0,,,,,,,,,,,,,2024-07-02
464,65,+2,Djo - End of Beginning,134,5,,2638,187,0.895,,,,83.0,62.0,82.0,,,,,,100.0,137.0,,81.0,,,,,24.0,104.0,102.0,94.0,54.0,,,123.0,39.0,,66.0,,51.0,,,,,,,,,,,34.0,,45.0,22.0,,93.0,,40.0,,81.0,,25.0,,,40.0,,,,2024-07-02
